STATE	DOMAIN	AGE	HOMEOWNR	NUMCHLD	INCOME	GENDER	WEALTH1	HIT	MBCRAFT	MBGARDEN	MBBOOKS	MBCOLECT	MAGFAML	MAGFEM	MAGMALE	PUBGARDN	PUBCULIN	PUBHLTH	PUBDOITY	PUBNEWFN	PUBPHOTO	PUBOPP	MAJOR	PEPSTRFL	NUMPRM12	NGIFTALL	TARGET_B
NM	R3	32.0	 			M		0.0															 	X	10.0	6.0	0
CA	S1	76.0	 		5	M	9	22.0	1.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	1.0	 	X	22.0	15.0	0
TX	C2	70.0	U		5	F		0.0															 	X	13.0	5.0	0
LA	T1	37.0	H		5	F	8	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	13.0	17.0	0
MO	T3	90.0	H		2	M		0.0															 	 	13.0	2.0	0
FL	C3	89.0	U		3	M	2	0.0															 	X	36.0	29.0	0
NC	T2	42.0	U	1.0	4	F		0.0															 	X	13.0	24.0	0
FL	C2	71.0	H		3	F	6	35.0	0.0	0.0	9.0	0.0	2.0	2.0	1.0	2.0	0.0	3.0	1.0	5.0	0.0	2.0	 	X	11.0	11.0	0
TX	R3	90.0	H		2	F		0.0															 	X	13.0	4.0	0
FL	 		 			F		0.0															 	X	12.0	13.0	0
NC	S2	61.0	H		5	F	8	11.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	 	X	13.0	34.0	1
MI	U3	44.0	H	1.0	5	F	5	0.0															 	 	10.0	1.0	0
FL	U3	79.0	U		2	M	3	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	27.0	11.0	0
IN	T2	86.0	H		5	M	5	5.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	13.0	18.0	0
NC	C2		U		2	F		0.0															 	 	13.0	2.0	0
TN	R3		 			 		0.0															 	 	14.0	4.0	1
WA	R3	33.0	 			M		0.0															 	X	10.0	21.0	0
WY	C2		U		2	M		0.0															 	 	13.0	7.0	0
WI	R2		 			 		0.0															 	 	14.0	1.0	0
NM	T2	80.0	H		1	M	2	20.0	0.0	1.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	1.0	1.0	0.0	6.0	 	 	11.0	1.0	0
NC	T2	47.0	H		6	M	9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	13.0	6.0	1
OK	C2		 			 		0.0															 	 	11.0	3.0	1
MO	S1	80.0	H		2	F		0.0															 	X	20.0	23.0	0
CA	U1		 			 		0.0															 	 	10.0	1.0	0
WI	U3	74.0	H		2	F	5	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	13.0	16.0	0
IN	S3	69.0	U		5	M	5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	 	X	11.0	11.0	0
MI	T2	68.0	H		6	F	8	10.0	0.0	1.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	 	 	12.0	16.0	0
IN	R2	32.0	U	1.0	1	F		0.0															 	 	13.0	2.0	0
IL	C1	39.0	 			 		0.0															 	X	12.0	5.0	0
IN	S2	66.0	U		1	F	7	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	13.0	12.0	0
TX	T2	38.0	H		4	F	6	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	12.0	2.0	0
TX	R2		 			F		0.0															 	X	15.0	29.0	0
LA	T2	26.0	H		5	M	3	10.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	 	 	14.0	4.0	0
MI	T2	63.0	 			F		0.0															 	X	13.0	8.0	0
NC	R2	86.0	 			F		0.0															 	X	13.0	9.0	0
CA	U1	76.0	H		6	F		0.0															 	 	12.0	3.0	0
IL	C3	68.0	U		1	F		0.0															 	X	12.0	4.0	0
CA	U1	74.0	U		1	M	4	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	30.0	5.0	0
NM	C2	80.0	H		1	F		0.0															 	X	24.0	20.0	1
MI	S2	32.0	U		5	M	7	19.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	8.0	 	 	10.0	6.0	1
FL	S2	61.0	H		7	M	8	15.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	 	X	10.0	11.0	1
WA	S1	56.0	U		5	M	8	7.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	 	 	14.0	8.0	0
MI	R2	37.0	H		3	F		0.0															 	 	14.0	5.0	0
NC	T2	81.0	U		2	F	8	14.0	3.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	13.0	29.0	0
TX	R2	75.0	H		2	M	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	11.0	22.0	1
MI	C3	72.0	U		4	F		0.0															 	 	12.0	8.0	0
MN	S1	31.0	U		1	M	2	7.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	 	 	5.0	2.0	0
MN	R2	68.0	H		6	F	4	5.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	11.0	15.0	0
AL	R2	75.0	 		5	M	3	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	 	 	32.0	10.0	0
SC	C3	66.0	H	1.0	4	U		0.0															 	X	9.0	15.0	0
WI	R2	68.0	 			M		0.0															 	X	11.0	11.0	0
NM	U2		H	1.0	2	F	6	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	 	X	13.0	6.0	0
IL	C1	73.0	 			M		0.0															 	X	16.0	12.0	1
MN	C2		 			M		0.0															 	X	15.0	6.0	0
CA	U3		 			M		0.0															 	 	9.0	2.0	1
CA	S1	66.0	H		4	F		0.0															 	X	17.0	4.0	1
TX	T1	93.0	 			F		0.0															 	X	13.0	8.0	0
NC	T2		H		5	F	8	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	13.0	2.0	0
WY	R2	68.0	 			F		0.0															 	X	14.0	27.0	0
CA	R2	40.0	 			F		0.0															 	 	13.0	10.0	0
MI	T2	44.0	 			F		0.0															 	 	14.0	4.0	0
CA	T2	63.0	H		1	F	4	0.0															 	X	12.0	4.0	0
AL	R3	46.0	U		1	M	1	0.0															 	 	13.0	4.0	0
WA	R2	86.0	H		2	F	1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	13.0	19.0	1
CA	U1	50.0	H	2.0	6	F	6	11.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	 	X	12.0	14.0	0
MI	 	85.0	 			F		0.0															 	X	12.0	44.0	1
CA	T1	72.0	H		6	F	8	10.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	 	 	12.0	2.0	1
OR	 		 			M		0.0															 	X	13.0	4.0	1
FL	T1	71.0	H		6	M	9	12.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	 	 	31.0	4.0	0
NC	T2	44.0	U		4	F		0.0															 	 	14.0	3.0	1
MS	R3	59.0	 			F		0.0															 	X	14.0	13.0	0
CA	R2	61.0	H		5	F		0.0															 	X	13.0	7.0	0
AZ	C2	80.0	U		1	M	0	11.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	 	X	39.0	23.0	0
KS	S1	40.0	U	1.0	7	F		0.0															 	 	7.0	6.0	1
NY	C3	71.0	 			M		0.0															 	 	7.0	1.0	0
WA	C3	84.0	H		1	F	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	16.0	14.0	0
MI	T2	46.0	 			M		0.0															 	 	13.0	7.0	0
IL	T1		 			F		0.0															 	 	10.0	6.0	0
FL	S2	48.0	H		6	F		0.0															 	X	12.0	4.0	0
TX	T3	44.0	H		2	M	4	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	 	 	9.0	5.0	0
LA	S1	28.0	U		2	M	9	0.0															 	 	10.0	1.0	0
IL	T1	53.0	U		5	F	9	5.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	13.0	4.0	0
CA	C3	72.0	H		1	F	1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	12.0	11.0	0
IL	R3	76.0	U		1	F	0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	 	 	11.0	12.0	0
TX	S1	46.0	H		6	F	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	8.0	1.0	0
TX	C1	47.0	H		5	M		0.0															 	X	13.0	18.0	0
TX	T2		 			F		0.0															 	X	12.0	5.0	0
OR	S1	88.0	H		5	F	7	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	X	12.0	17.0	0
WI	T2	58.0	H		5	M	4	0.0															 	X	13.0	3.0	0
TX	T2		U		2	F		0.0															 	 	12.0	6.0	0
AK	T2		 			F		0.0															 	 	10.0	3.0	0
MO	S2	44.0	H	2.0	4	F		0.0															 	X	13.0	13.0	0
CA	C1	78.0	H		4	F	6	0.0															 	X	14.0	7.0	0
IL	R2	84.0	U		5	M		0.0															 	X	13.0	22.0	0
CA	R1		 			F		0.0															 	 	12.0	11.0	0
NM	S1	63.0	H		5	F	9	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	 	X	8.0	11.0	0
IL	U1	83.0	H		3	F	9	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 	 	12.0	10.0	0
IL	T2	78.0	H		1	F		0.0															 	 	13.0	7.0	0
FL	R2	90.0	 			M		0.0															 	X	13.0	6.0	1
IL	U2	90.0	H		4	F	3	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	 	X	9.0	48.0	0
