COLLEGE,INCOME,OVERAGE,LEFTOVER,HOUSE,HANDSET_PRICE,OVER_15MINS_CALLS_PER_MONTH,AVERAGE_CALL_DURATION,REPORTED_SATISFACTION,REPORTED_USAGE_LEVEL,CONSIDERING_CHANGE_OF_PLAN,PROFITABILITY,LEAVE
one,140800.0,58.0,19.0,719481.0,423.0,5.0,2.0,avg,very_little,considering,4.78,STAY
zero,114634.0,201.0,0.0,435784.0,819.0,20.0,14.0,very_sat,little,considering,3.19,LEAVE
zero,120319.0,55.0,0.0,344396.0,734.0,3.0,10.0,very_sat,very_high,never_thought,4.53,LEAVE
zero,23661.0,66.0,11.0,179152.0,235.0,3.0,4.0,very_unsat,little,actively_looking_into_it,3.89,LEAVE
one,103801.0,45.0,5.0,858691.0,818.0,3.0,5.0,avg,very_high,actively_looking_into_it,3.94,STAY
one,142073.0,0.0,0.0,584762.0,482.0,0.0,10.0,very_unsat,little,considering,5.0,STAY
one,107293.0,199.0,13.0,568557.0,461.0,12.0,5.0,very_sat,very_little,considering,3.55,LEAVE
one,106850.0,218.0,0.0,311887.0,511.0,3.0,12.0,very_unsat,very_little,no,4.96,LEAVE
one,32155.0,170.0,0.0,607712.0,157.0,25.0,8.0,unsat,little,considering,6.73,STAY
one,48910.0,56.0,0.0,654187.0,244.0,5.0,9.0,very_unsat,high,perhaps,6.43,STAY
zero,64305.0,0.0,9.0,675119.0,273.0,13.0,6.0,very_unsat,little,perhaps,6.83,STAY
one,46487.0,0.0,11.0,252538.0,504.0,0.0,2.0,very_sat,very_little,no,2.04,LEAVE
zero,112031.0,230.0,0.0,283801.0,869.0,16.0,13.0,very_unsat,little,considering,2.87,LEAVE
zero,54497.0,179.0,0.0,205279.0,445.0,29.0,15.0,unsat,little,no,3.67,LEAVE
zero,149435.0,0.0,0.0,782567.0,560.0,10.0,14.0,unsat,very_little,no,4.65,LEAVE
zero,59276.0,0.0,22.0,219676.0,270.0,4.0,6.0,very_unsat,very_high,actively_looking_into_it,4.53,STAY
one,142829.0,173.0,0.0,290260.0,505.0,16.0,11.0,very_unsat,very_high,actively_looking_into_it,2.42,LEAVE
zero,26521.0,188.0,85.0,727116.0,175.0,22.0,2.0,avg,little,considering,4.18,STAY
one,130997.0,229.0,0.0,252819.0,614.0,25.0,10.0,very_sat,avg,perhaps,3.06,LEAVE
zero,35999.0,0.0,19.0,492174.0,155.0,1.0,5.0,unsat,little,no,4.22,STAY
one,96099.0,168.0,27.0,518469.0,378.0,27.0,2.0,very_unsat,little,considering,3.84,LEAVE
one,139942.0,0.0,24.0,594352.0,781.0,1.0,4.0,unsat,very_high,never_thought,6.39,LEAVE
zero,59245.0,0.0,0.0,464039.0,265.0,0.0,11.0,very_unsat,avg,considering,3.66,LEAVE
one,96582.0,213.0,0.0,454411.0,376.0,27.0,11.0,very_unsat,high,considering,3.74,LEAVE
one,28011.0,56.0,33.0,429186.0,145.0,1.0,2.0,very_unsat,little,no,5.67,LEAVE
one,159844.0,229.0,46.0,153809.0,542.0,29.0,2.0,very_sat,little,actively_looking_into_it,2.81,LEAVE
zero,23209.0,250.0,0.0,350828.0,209.0,24.0,10.0,unsat,very_little,actively_looking_into_it,2.95,LEAVE
zero,121785.0,190.0,58.0,532445.0,769.0,24.0,1.0,very_unsat,high,actively_looking_into_it,4.04,STAY
zero,46044.0,0.0,44.0,470207.0,230.0,3.0,2.0,unsat,avg,actively_looking_into_it,5.43,STAY
zero,105898.0,55.0,20.0,269221.0,447.0,4.0,5.0,very_sat,very_little,no,4.7,STAY
one,45144.0,164.0,17.0,223415.0,138.0,14.0,4.0,very_unsat,little,no,2.98,LEAVE
zero,61687.0,49.0,18.0,282918.0,873.0,5.0,6.0,very_unsat,very_high,no,4.59,LEAVE
one,31364.0,0.0,23.0,701928.0,214.0,0.0,4.0,very_unsat,very_little,actively_looking_into_it,7.98,STAY
zero,33624.0,0.0,21.0,951735.0,153.0,1.0,4.0,very_sat,very_little,considering,4.72,LEAVE
zero,42248.0,57.0,0.0,343616.0,221.0,4.0,14.0,avg,very_high,perhaps,2.08,LEAVE
zero,36721.0,0.0,0.0,861543.0,168.0,0.0,15.0,very_sat,little,actively_looking_into_it,7.58,STAY
zero,47167.0,54.0,54.0,978959.0,237.0,4.0,5.0,unsat,avg,considering,7.13,STAY
zero,33093.0,0.0,35.0,551603.0,171.0,0.0,2.0,avg,little,actively_looking_into_it,4.37,LEAVE
zero,142465.0,57.0,17.0,332082.0,798.0,4.0,5.0,avg,very_little,never_thought,4.82,STAY
one,41641.0,44.0,15.0,357875.0,210.0,3.0,5.0,very_sat,very_little,never_thought,2.92,LEAVE
one,118564.0,178.0,76.0,992596.0,524.0,28.0,8.0,very_sat,little,considering,4.62,LEAVE
zero,20573.0,0.0,7.0,325789.0,152.0,1.0,4.0,very_unsat,avg,actively_looking_into_it,1.52,LEAVE
one,111665.0,55.0,22.0,157738.0,800.0,4.0,5.0,unsat,little,actively_looking_into_it,2.25,LEAVE
one,27815.0,0.0,0.0,760836.0,152.0,0.0,13.0,unsat,little,considering,4.81,LEAVE
zero,80451.0,0.0,76.0,191617.0,278.0,1.0,2.0,very_unsat,little,never_thought,6.04,LEAVE
one,88786.0,0.0,23.0,400270.0,329.0,1.0,4.0,avg,little,considering,4.3,LEAVE
zero,55798.0,0.0,17.0,183333.0,381.0,0.0,6.0,very_sat,high,considering,5.09,STAY
zero,30386.0,52.0,65.0,205204.0,167.0,11.0,1.0,unsat,very_high,never_thought,6.99,STAY
one,95811.0,28.0,24.0,438069.0,357.0,4.0,6.0,unsat,little,never_thought,2.67,LEAVE
zero,51479.0,0.0,61.0,617465.0,336.0,1.0,4.0,very_unsat,very_high,no,6.04,STAY
zero,65476.0,70.0,0.0,871527.0,380.0,5.0,10.0,very_unsat,very_high,actively_looking_into_it,6.68,STAY
zero,91225.0,208.0,88.0,194030.0,396.0,5.0,4.0,very_unsat,very_high,considering,2.96,LEAVE
zero,158043.0,45.0,0.0,447492.0,373.0,3.0,12.0,very_sat,very_high,actively_looking_into_it,4.8,LEAVE
one,60034.0,229.0,14.0,773279.0,346.0,28.0,5.0,avg,little,actively_looking_into_it,4.22,STAY
one,20972.0,46.0,0.0,387424.0,437.0,4.0,8.0,unsat,very_high,considering,4.63,STAY
zero,42360.0,152.0,51.0,859740.0,130.0,25.0,4.0,very_unsat,avg,never_thought,3.19,STAY
one,103884.0,0.0,28.0,643325.0,560.0,1.0,6.0,very_sat,little,considering,3.67,LEAVE
one,79463.0,0.0,51.0,338517.0,252.0,0.0,1.0,unsat,very_little,no,4.81,LEAVE
zero,116950.0,168.0,0.0,493057.0,513.0,10.0,14.0,very_unsat,little,considering,2.82,STAY
one,30359.0,199.0,23.0,551124.0,392.0,12.0,6.0,unsat,little,actively_looking_into_it,2.03,LEAVE
zero,92432.0,0.0,0.0,731471.0,351.0,1.0,13.0,unsat,little,considering,7.76,STAY
one,113945.0,0.0,0.0,544908.0,632.0,1.0,10.0,avg,high,considering,3.12,STAY
zero,101973.0,0.0,84.0,330111.0,612.0,3.0,1.0,avg,very_little,considering,6.86,STAY
zero,51540.0,184.0,10.0,675948.0,312.0,20.0,4.0,sat,little,considering,6.68,STAY
one,79748.0,65.0,11.0,429649.0,259.0,4.0,10.0,very_unsat,very_little,actively_looking_into_it,2.44,LEAVE
one,90506.0,221.0,21.0,181312.0,300.0,17.0,9.0,sat,little,considering,2.93,STAY
zero,22167.0,61.0,6.0,243445.0,258.0,4.0,6.0,sat,little,considering,1.65,LEAVE
one,77249.0,0.0,0.0,377251.0,352.0,21.0,12.0,very_unsat,avg,considering,5.67,STAY
one,121193.0,0.0,0.0,618430.0,538.0,0.0,10.0,unsat,little,never_thought,5.16,STAY
one,59192.0,60.0,18.0,956841.0,399.0,5.0,6.0,unsat,very_high,actively_looking_into_it,5.86,STAY
one,139944.0,201.0,17.0,165958.0,465.0,20.0,4.0,very_sat,very_high,considering,4.03,LEAVE
zero,151376.0,37.0,0.0,491632.0,584.0,1.0,14.0,very_unsat,little,actively_looking_into_it,3.34,STAY
one,142954.0,184.0,37.0,183862.0,820.0,18.0,1.0,unsat,very_little,considering,4.3,LEAVE
one,46664.0,0.0,11.0,295537.0,218.0,1.0,2.0,unsat,little,actively_looking_into_it,4.77,STAY
zero,54559.0,180.0,11.0,884835.0,303.0,11.0,6.0,very_unsat,very_little,no,6.17,STAY
zero,87910.0,190.0,0.0,201035.0,391.0,15.0,13.0,unsat,very_little,actively_looking_into_it,3.86,LEAVE
zero,67279.0,55.0,9.0,466216.0,393.0,5.0,1.0,very_unsat,very_high,actively_looking_into_it,3.47,STAY
zero,83105.0,215.0,0.0,849422.0,259.0,20.0,10.0,very_sat,little,considering,7.01,STAY
zero,82131.0,268.0,43.0,621827.0,339.0,10.0,2.0,sat,very_high,no,6.01,STAY
one,116041.0,70.0,0.0,413171.0,543.0,5.0,10.0,very_unsat,little,actively_looking_into_it,3.55,STAY
zero,26100.0,188.0,0.0,154985.0,186.0,16.0,11.0,very_unsat,little,considering,1.99,LEAVE
one,117516.0,156.0,55.0,395775.0,887.0,15.0,1.0,unsat,very_high,actively_looking_into_it,3.36,LEAVE
zero,44840.0,162.0,74.0,300135.0,381.0,27.0,1.0,very_unsat,little,actively_looking_into_it,4.67,LEAVE
one,75886.0,182.0,20.0,751032.0,383.0,20.0,6.0,unsat,very_high,actively_looking_into_it,4.99,LEAVE
zero,159608.0,97.0,0.0,227847.0,752.0,28.0,11.0,very_unsat,little,no,3.0,LEAVE
one,42963.0,0.0,14.0,656471.0,160.0,0.0,4.0,avg,little,considering,6.54,STAY
one,29367.0,52.0,0.0,849211.0,215.0,5.0,12.0,very_unsat,little,never_thought,7.45,STAY
one,54707.0,176.0,39.0,461941.0,288.0,21.0,2.0,unsat,very_high,actively_looking_into_it,3.98,STAY
zero,90461.0,0.0,0.0,260191.0,258.0,0.0,15.0,very_sat,very_little,never_thought,5.74,STAY
zero,77045.0,61.0,17.0,904526.0,275.0,3.0,4.0,very_unsat,very_high,no,5.15,LEAVE
zero,25286.0,40.0,0.0,256335.0,182.0,4.0,12.0,avg,little,considering,4.87,LEAVE
zero,66226.0,204.0,25.0,236812.0,300.0,28.0,2.0,very_unsat,little,considering,3.41,LEAVE
one,157115.0,65.0,82.0,264647.0,250.0,3.0,1.0,very_sat,very_high,perhaps,6.23,STAY
zero,84933.0,214.0,0.0,257214.0,265.0,14.0,13.0,very_sat,very_little,actively_looking_into_it,4.4,STAY
zero,30160.0,74.0,5.0,361593.0,187.0,5.0,4.0,very_sat,very_little,no,1.67,LEAVE
zero,137261.0,0.0,15.0,667238.0,409.0,1.0,5.0,very_unsat,very_high,never_thought,4.43,STAY
zero,71324.0,0.0,0.0,284994.0,268.0,0.0,1.0,very_unsat,avg,considering,4.06,STAY
zero,116653.0,138.0,10.0,622161.0,249.0,18.0,5.0,very_sat,avg,actively_looking_into_it,3.77,LEAVE
one,46839.0,0.0,18.0,733809.0,235.0,1.0,5.0,very_unsat,little,considering,5.5,STAY
zero,37332.0,69.0,0.0,154828.0,273.0,3.0,13.0,very_sat,very_high,actively_looking_into_it,4.57,STAY
one,144830.0,68.0,52.0,564137.0,823.0,5.0,6.0,very_unsat,little,considering,6.57,LEAVE
zero,153699.0,71.0,0.0,168393.0,548.0,4.0,15.0,unsat,very_high,actively_looking_into_it,3.63,LEAVE
one,139659.0,0.0,44.0,598342.0,497.0,1.0,1.0,very_unsat,little,considering,6.51,STAY
one,136607.0,36.0,63.0,756392.0,184.0,4.0,1.0,very_unsat,little,no,5.91,LEAVE
zero,127148.0,0.0,10.0,627104.0,378.0,0.0,5.0,very_sat,little,considering,3.78,LEAVE
one,74119.0,226.0,14.0,471494.0,388.0,11.0,6.0,very_unsat,very_high,considering,3.78,LEAVE
zero,145513.0,52.0,0.0,266431.0,692.0,4.0,9.0,very_sat,little,considering,3.19,LEAVE
one,73213.0,135.0,10.0,213899.0,334.0,13.0,6.0,unsat,very_little,considering,4.74,STAY
zero,119883.0,210.0,17.0,510835.0,405.0,28.0,6.0,unsat,very_high,considering,4.54,STAY
zero,35860.0,0.0,20.0,160781.0,151.0,1.0,6.0,very_unsat,high,considering,4.63,LEAVE
zero,149165.0,198.0,0.0,257072.0,502.0,10.0,12.0,very_unsat,high,actively_looking_into_it,4.16,STAY
zero,20674.0,0.0,0.0,784065.0,161.0,1.0,11.0,very_sat,little,considering,5.54,STAY
one,37855.0,196.0,0.0,855984.0,245.0,26.0,15.0,very_sat,very_little,no,7.66,STAY
one,157413.0,0.0,23.0,238620.0,558.0,0.0,13.0,sat,avg,actively_looking_into_it,3.57,STAY
one,35457.0,14.0,80.0,216968.0,145.0,5.0,5.0,very_unsat,very_high,no,6.06,STAY
one,54478.0,0.0,12.0,736052.0,267.0,5.0,6.0,unsat,high,considering,5.01,STAY
one,126943.0,0.0,70.0,169242.0,485.0,1.0,1.0,very_unsat,little,considering,6.72,STAY
one,21906.0,201.0,70.0,316619.0,138.0,24.0,1.0,very_sat,little,considering,3.97,LEAVE
zero,49983.0,0.0,0.0,339962.0,181.0,0.0,13.0,unsat,little,actively_looking_into_it,3.15,LEAVE
zero,98456.0,0.0,0.0,768377.0,314.0,0.0,11.0,very_sat,very_little,actively_looking_into_it,7.13,STAY
one,51536.0,181.0,0.0,529411.0,318.0,21.0,8.0,very_sat,little,actively_looking_into_it,4.46,LEAVE
zero,32285.0,34.0,0.0,186352.0,272.0,3.0,1.0,unsat,very_high,considering,4.43,LEAVE
one,37470.0,152.0,41.0,176445.0,228.0,10.0,2.0,unsat,very_little,never_thought,3.16,STAY
one,49994.0,225.0,18.0,285186.0,178.0,27.0,4.0,avg,little,actively_looking_into_it,2.79,LEAVE
zero,136261.0,185.0,0.0,731411.0,551.0,27.0,8.0,avg,little,no,3.15,LEAVE
zero,51398.0,59.0,0.0,561477.0,381.0,4.0,13.0,unsat,very_high,no,4.1,STAY
one,40656.0,184.0,0.0,739815.0,153.0,15.0,11.0,very_unsat,little,never_thought,6.1,STAY
zero,102206.0,216.0,61.0,783753.0,502.0,15.0,15.0,unsat,very_little,no,4.39,LEAVE
zero,28829.0,225.0,5.0,739378.0,196.0,22.0,5.0,very_unsat,high,no,7.35,STAY
one,48399.0,0.0,0.0,187593.0,247.0,0.0,10.0,very_unsat,little,considering,3.37,STAY
zero,23346.0,0.0,0.0,692217.0,193.0,1.0,11.0,very_unsat,little,no,5.31,STAY
zero,152376.0,42.0,88.0,454631.0,642.0,5.0,1.0,sat,very_high,perhaps,5.16,LEAVE
one,36476.0,53.0,69.0,221194.0,245.0,4.0,1.0,very_sat,very_high,actively_looking_into_it,5.71,STAY
one,83382.0,194.0,13.0,672561.0,319.0,18.0,5.0,sat,very_high,actively_looking_into_it,5.44,STAY
one,21887.0,54.0,0.0,957016.0,210.0,3.0,2.0,unsat,little,considering,5.31,STAY
zero,31137.0,68.0,63.0,823473.0,245.0,5.0,2.0,very_unsat,very_high,actively_looking_into_it,5.64,STAY
zero,132824.0,234.0,21.0,274357.0,401.0,12.0,5.0,very_sat,little,considering,4.24,LEAVE
zero,53873.0,88.0,0.0,649047.0,366.0,4.0,13.0,unsat,little,considering,4.84,STAY
one,36829.0,183.0,0.0,808641.0,173.0,21.0,8.0,very_sat,very_high,actively_looking_into_it,6.42,STAY
zero,139545.0,227.0,8.0,956124.0,479.0,22.0,4.0,very_sat,avg,no,5.45,LEAVE
one,142391.0,139.0,0.0,636337.0,623.0,28.0,14.0,very_sat,little,perhaps,3.05,LEAVE
one,65073.0,84.0,20.0,746466.0,264.0,4.0,1.0,unsat,avg,perhaps,4.86,STAY
one,42328.0,145.0,45.0,265028.0,183.0,18.0,2.0,very_sat,little,considering,2.8,STAY
one,68056.0,66.0,0.0,266899.0,319.0,3.0,8.0,unsat,very_high,considering,3.52,LEAVE
zero,105527.0,0.0,82.0,571632.0,429.0,4.0,2.0,avg,very_high,considering,5.81,STAY
one,35735.0,217.0,9.0,214525.0,159.0,17.0,4.0,very_sat,little,never_thought,3.57,STAY
one,102036.0,0.0,85.0,407433.0,522.0,0.0,2.0,very_unsat,little,actively_looking_into_it,6.73,STAY
zero,47491.0,0.0,77.0,237345.0,207.0,0.0,2.0,avg,little,no,4.37,LEAVE
one,36265.0,55.0,0.0,262056.0,711.0,3.0,4.0,very_unsat,very_high,actively_looking_into_it,3.91,LEAVE
one,84079.0,75.0,10.0,247742.0,273.0,5.0,4.0,sat,little,actively_looking_into_it,3.48,STAY
one,75813.0,70.0,52.0,446838.0,263.0,5.0,2.0,unsat,very_little,actively_looking_into_it,6.81,LEAVE
one,23928.0,188.0,16.0,954489.0,448.0,15.0,12.0,very_unsat,very_high,no,5.53,STAY
zero,136846.0,35.0,20.0,413390.0,680.0,1.0,6.0,very_sat,high,never_thought,3.92,STAY
zero,67563.0,213.0,0.0,490329.0,376.0,20.0,9.0,very_unsat,avg,actively_looking_into_it,4.74,STAY
zero,113494.0,55.0,13.0,454172.0,848.0,27.0,5.0,very_unsat,very_little,no,3.23,STAY
zero,31033.0,145.0,0.0,264943.0,243.0,13.0,10.0,sat,very_high,actively_looking_into_it,3.13,LEAVE
zero,25472.0,241.0,65.0,376765.0,135.0,3.0,1.0,very_sat,little,actively_looking_into_it,3.28,LEAVE
one,147736.0,0.0,12.0,448218.0,878.0,1.0,6.0,very_unsat,little,actively_looking_into_it,5.65,STAY
zero,66756.0,51.0,20.0,546647.0,370.0,3.0,1.0,very_sat,high,considering,5.58,STAY
one,21713.0,71.0,0.0,265872.0,164.0,23.0,10.0,very_sat,little,perhaps,4.66,LEAVE
zero,69730.0,62.0,18.0,952551.0,383.0,3.0,6.0,very_unsat,very_high,considering,4.24,LEAVE
zero,51979.0,46.0,0.0,385135.0,386.0,5.0,8.0,very_unsat,very_little,no,4.14,STAY
one,33314.0,60.0,82.0,462463.0,174.0,3.0,1.0,very_sat,little,considering,7.51,LEAVE
one,115972.0,0.0,0.0,177884.0,810.0,5.0,12.0,very_unsat,avg,never_thought,4.37,STAY
one,33387.0,174.0,85.0,217045.0,198.0,21.0,1.0,unsat,very_little,no,2.25,LEAVE
zero,151663.0,201.0,0.0,162940.0,479.0,19.0,9.0,very_unsat,little,considering,4.28,LEAVE
zero,91035.0,34.0,0.0,502986.0,284.0,5.0,10.0,very_sat,high,actively_looking_into_it,1.69,LEAVE
one,31150.0,219.0,14.0,568356.0,225.0,16.0,6.0,very_sat,very_high,no,4.21,STAY
zero,86862.0,0.0,66.0,607869.0,339.0,0.0,2.0,very_unsat,little,no,6.97,STAY
zero,96814.0,0.0,0.0,328366.0,390.0,0.0,11.0,very_unsat,high,no,5.96,LEAVE
zero,111674.0,0.0,6.0,642484.0,899.0,1.0,5.0,avg,very_little,actively_looking_into_it,1.83,LEAVE
zero,75823.0,239.0,75.0,161228.0,273.0,14.0,2.0,unsat,little,perhaps,4.77,LEAVE
zero,88508.0,53.0,54.0,519642.0,392.0,3.0,1.0,very_sat,little,no,5.75,STAY
one,134481.0,0.0,22.0,230718.0,405.0,3.0,6.0,very_sat,very_high,actively_looking_into_it,3.81,LEAVE
zero,46104.0,195.0,16.0,722580.0,149.0,24.0,5.0,very_unsat,very_high,considering,3.73,LEAVE
zero,29502.0,0.0,0.0,843873.0,244.0,0.0,13.0,very_unsat,high,considering,4.91,LEAVE
one,30264.0,0.0,0.0,737112.0,167.0,27.0,8.0,very_sat,very_little,considering,6.74,LEAVE
one,50221.0,166.0,10.0,278239.0,386.0,23.0,5.0,very_sat,very_little,actively_looking_into_it,2.62,LEAVE
one,83569.0,0.0,28.0,244019.0,302.0,25.0,2.0,very_unsat,little,considering,6.29,STAY
one,79274.0,0.0,0.0,593740.0,348.0,1.0,12.0,very_unsat,very_high,actively_looking_into_it,2.79,STAY
zero,126231.0,213.0,5.0,580705.0,782.0,21.0,6.0,unsat,very_little,actively_looking_into_it,3.09,LEAVE
one,85612.0,46.0,7.0,240065.0,373.0,3.0,4.0,very_unsat,little,actively_looking_into_it,4.78,STAY
zero,51839.0,0.0,37.0,193305.0,198.0,1.0,2.0,very_unsat,very_high,considering,8.63,LEAVE
zero,49409.0,245.0,0.0,194028.0,330.0,17.0,11.0,unsat,high,actively_looking_into_it,2.13,STAY
one,153026.0,115.0,67.0,880576.0,608.0,1.0,2.0,very_unsat,little,considering,4.84,LEAVE
one,38443.0,85.0,5.0,588282.0,432.0,1.0,6.0,very_unsat,very_little,no,3.58,LEAVE
zero,53254.0,0.0,68.0,334257.0,290.0,1.0,1.0,unsat,very_high,actively_looking_into_it,4.99,LEAVE
one,120721.0,0.0,10.0,572661.0,458.0,1.0,6.0,very_unsat,little,actively_looking_into_it,3.21,LEAVE
one,137170.0,214.0,24.0,743268.0,823.0,13.0,4.0,very_sat,high,never_thought,1.79,LEAVE
zero,146716.0,147.0,68.0,666876.0,621.0,4.0,2.0,very_unsat,little,considering,2.74,LEAVE
one,87571.0,241.0,0.0,501480.0,304.0,16.0,10.0,very_unsat,little,considering,3.37,LEAVE
zero,20055.0,59.0,0.0,445609.0,371.0,4.0,9.0,very_unsat,avg,no,3.98,STAY
zero,96374.0,63.0,78.0,584254.0,380.0,4.0,11.0,very_unsat,very_high,considering,4.89,STAY
zero,55139.0,42.0,68.0,973003.0,378.0,5.0,1.0,unsat,little,no,8.57,STAY
zero,41596.0,74.0,50.0,534285.0,224.0,5.0,2.0,very_unsat,little,considering,5.88,LEAVE
one,112443.0,252.0,0.0,285264.0,742.0,29.0,5.0,very_unsat,very_high,actively_looking_into_it,3.23,STAY
one,76824.0,0.0,48.0,264036.0,262.0,1.0,1.0,very_unsat,little,actively_looking_into_it,6.79,STAY
one,48960.0,57.0,0.0,233637.0,219.0,3.0,15.0,avg,very_high,actively_looking_into_it,4.28,STAY
one,116755.0,0.0,39.0,560839.0,729.0,3.0,1.0,very_unsat,little,never_thought,4.62,LEAVE
zero,32928.0,0.0,11.0,944458.0,178.0,1.0,4.0,very_sat,little,never_thought,5.31,LEAVE
zero,87041.0,0.0,0.0,965781.0,370.0,1.0,14.0,avg,very_high,actively_looking_into_it,5.95,STAY
one,48791.0,40.0,0.0,214494.0,218.0,3.0,15.0,very_unsat,very_high,considering,4.57,STAY
one,47731.0,190.0,0.0,614603.0,227.0,11.0,13.0,very_sat,very_little,actively_looking_into_it,5.79,LEAVE
zero,80129.0,0.0,0.0,228744.0,356.0,1.0,15.0,unsat,very_little,actively_looking_into_it,3.88,STAY
zero,98376.0,224.0,12.0,658195.0,319.0,18.0,6.0,very_sat,little,considering,6.13,LEAVE
zero,23059.0,0.0,36.0,985633.0,205.0,1.0,1.0,unsat,very_little,actively_looking_into_it,6.7,STAY
one,96844.0,75.0,8.0,853888.0,270.0,4.0,5.0,unsat,high,considering,5.04,STAY
zero,43950.0,46.0,87.0,820436.0,198.0,5.0,1.0,very_sat,very_little,considering,5.73,STAY
one,78821.0,186.0,24.0,221544.0,364.0,20.0,4.0,unsat,avg,actively_looking_into_it,3.71,LEAVE
zero,57645.0,78.0,57.0,836756.0,389.0,4.0,2.0,very_sat,little,perhaps,7.34,STAY
one,20561.0,64.0,16.0,284731.0,221.0,4.0,6.0,very_sat,very_high,no,5.07,STAY
zero,53215.0,61.0,49.0,423797.0,378.0,5.0,2.0,avg,little,considering,4.32,LEAVE
one,41347.0,55.0,37.0,453699.0,168.0,4.0,1.0,unsat,little,actively_looking_into_it,7.01,LEAVE
one,42101.0,160.0,0.0,179773.0,231.0,28.0,15.0,very_unsat,high,no,3.25,LEAVE
zero,56284.0,177.0,89.0,925232.0,394.0,12.0,1.0,very_unsat,very_high,no,7.92,STAY
one,114991.0,58.0,74.0,190596.0,722.0,3.0,1.0,very_unsat,little,no,7.43,STAY
one,36982.0,201.0,0.0,207081.0,140.0,21.0,11.0,very_unsat,very_high,considering,3.7,LEAVE
zero,70797.0,0.0,18.0,245966.0,271.0,0.0,6.0,very_unsat,little,never_thought,2.85,LEAVE
one,135997.0,0.0,54.0,333627.0,808.0,0.0,2.0,unsat,very_high,considering,6.48,STAY
zero,46191.0,55.0,17.0,782997.0,167.0,3.0,4.0,very_unsat,high,never_thought,6.02,STAY
one,28578.0,210.0,0.0,483091.0,157.0,10.0,11.0,unsat,little,never_thought,3.02,LEAVE
zero,40819.0,0.0,35.0,933817.0,184.0,1.0,1.0,very_unsat,high,considering,4.54,LEAVE
zero,38836.0,58.0,0.0,218314.0,223.0,4.0,9.0,unsat,little,considering,0.87,LEAVE
zero,90058.0,0.0,60.0,220419.0,299.0,0.0,2.0,avg,little,never_thought,6.5,LEAVE
zero,26001.0,0.0,6.0,755883.0,155.0,0.0,4.0,unsat,very_high,considering,5.49,LEAVE
zero,127786.0,0.0,9.0,450815.0,596.0,1.0,4.0,very_unsat,high,considering,2.67,STAY
one,24967.0,240.0,0.0,871161.0,135.0,17.0,10.0,very_unsat,high,considering,4.53,STAY
